label,scenario,rep,http_status,incomplete,first_skill,skills_loaded,tool_calls,api_calls,input_tokens,cache_read_tokens,output_tokens,wall_seconds
stock-shipped,pod-403-gcs,2,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal,9,3281,255037,3102,52.75
stock-shipped,pod-403-gcs,3,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,12596,283364,1049,64.23
stock-shipped,pod-ip-exhaustion,1,200,False,,,tool_search tool_describe tool_call terminal terminal terminal terminal terminal terminal terminal terminal,10,21808,312904,1417,103.48
stock-shipped,pod-ip-exhaustion,2,200,False,gke-networking,gke-networking,terminal skill_view terminal terminal terminal terminal terminal terminal terminal terminal,10,25254,283354,805,84.65
stock-shipped,pod-ip-exhaustion,3,200,False,,,tool_describe tool_call,3,2280,85065,1534,30.48
stock-shipped,prometheus-alerts,1,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,12426,312892,1013,67.44
stock-shipped,prometheus-alerts,2,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,59873,283342,951,76.95
stock-shipped,prometheus-alerts,3,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,18032,283342,1182,58.01
stock-shipped,pvc-pending,1,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,11135,312926,1617,408.42
stock-shipped,pvc-pending,2,200,False,,,terminal terminal terminal terminal terminal terminal terminal,8,4011,226722,1403,36.55
stock-shipped,pvc-pending,3,200,False,,,terminal terminal terminal terminal terminal terminal,7,4949,198395,1226,29.4
stock-shipped,tpu-vbar,1,200,False,gke-ai-troubleshooting-tpu-vbar-oom,gke-ai-troubleshooting-tpu-vbar-oom,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,23407,312900,1233,78.71
stock-shipped,tpu-vbar,2,200,False,gke-ai-troubleshooting-tpu-vbar-oom,gke-ai-troubleshooting-tpu-vbar-oom,skill_view terminal terminal terminal terminal tool_search terminal terminal terminal terminal,10,25938,283350,891,75.88
stock-shipped,tpu-vbar,3,200,False,gke-ai-troubleshooting-tpu-vbar-oom,gke-ai-troubleshooting-tpu-vbar-oom,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,23650,283350,688,60.23
stock-shipped,upgrade-plan,1,200,False,gke-upgrades,gke-upgrades,skill_view terminal terminal terminal terminal terminal terminal terminal kanban_list terminal,10,50911,312906,1217,80.43
stock-shipped,upgrade-plan,2,200,False,gke-upgrades,gke-upgrades gke-upgrades,terminal skill_view terminal terminal terminal terminal terminal terminal skill_view terminal terminal,10,54528,283313,1150,195.7
stock-shipped,upgrade-plan,3,200,False,gke-upgrades,gke-upgrades,tool_search skill_view terminal terminal terminal terminal terminal terminal terminal terminal,10,46130,283356,1276,125.86
stock-shipped,vllm-l4,1,200,False,gke-inference,gke-inference,terminal terminal terminal terminal skill_view terminal terminal terminal terminal terminal,10,21092,312902,1142,85.79
stock-shipped,vllm-l4,2,200,False,gke-inference,gke-inference,terminal skill_view terminal terminal terminal terminal terminal terminal terminal terminal,10,24038,283352,1218,101.8
stock-shipped,vllm-l4,3,200,False,gke-inference,gke-inference,terminal skill_view terminal terminal terminal terminal terminal terminal terminal,9,21587,254984,2166,68.41
fulldesc-shipped,control-capabilities,1,200,False,,,,1,0,31309,806,293.71
fulldesc-shipped,control-capabilities,2,200,False,,,,1,0,31309,757,10.22
fulldesc-shipped,control-capabilities,3,200,False,,,,1,0,31309,1038,12.22
fulldesc-shipped,control-list-nodes,1,200,False,,,terminal,2,163,62618,671,160.95
fulldesc-shipped,control-list-nodes,2,200,False,,,terminal,2,163,62618,882,15.34
fulldesc-shipped,control-list-nodes,3,200,False,,,terminal terminal,3,244,93900,917,944.52
fulldesc-shipped,crashloop,1,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,6473,312896,1880,121.19
fulldesc-shipped,crashloop,2,200,False,,,terminal terminal kanban_list terminal terminal terminal,7,3333,219050,2389,282.26
fulldesc-shipped,crashloop,3,200,False,,,terminal terminal terminal terminal kanban_list tool_search terminal,8,3307,250332,1649,52.64
fulldesc-shipped,cut-the-bill,1,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,17801,312882,1385,436.24
fulldesc-shipped,cut-the-bill,2,200,False,,,terminal terminal tool_search terminal terminal terminal terminal terminal terminal terminal,10,6844,312882,1892,396.26
fulldesc-shipped,cut-the-bill,3,200,False,gke-cost-optimization,gke-cost-optimization,terminal skill_view terminal tool_call terminal terminal terminal terminal terminal terminal kanban_complete,10,44364,312882,4002,80.61
fulldesc-shipped,daily-backups,1,200,False,gke-backup-dr,gke-backup-dr,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,19861,312859,1229,118.39
fulldesc-shipped,daily-backups,2,200,False,gke-backup-dr,gke-backup-dr gcp-config-connector,skill_view terminal process skill_view terminal terminal terminal terminal terminal kanban_heartbeat,10,36971,312898,1244,144.51
fulldesc-shipped,daily-backups,3,200,False,gke-backup-dr,gke-backup-dr,list_agents skill_view terminal terminal terminal terminal terminal terminal terminal terminal,10,13898,312898,1034,100.89
fulldesc-shipped,fleet-behind-channel,1,200,False,fleet-upgrade-verification,fleet-upgrade-verification,terminal skill_view terminal terminal terminal terminal kanban_heartbeat,7,45482,219006,2671,59.85
fulldesc-shipped,fleet-behind-channel,2,200,False,fleet-upgrade-verification,fleet-upgrade-verification,skill_view terminal terminal kanban_complete,5,27889,156474,1148,74.04
fulldesc-shipped,fleet-behind-channel,3,200,False,fleet-upgrade-verification,fleet-upgrade-verification,skill_view terminal terminal terminal terminal terminal kanban_complete terminal,9,54649,281602,1326,209.96
fulldesc-shipped,gitops-pr,1,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,10011,312902,805,500.05
fulldesc-shipped,gitops-pr,2,200,False,submit-suggestion,submit-suggestion,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,38463,312902,666,122.62
fulldesc-shipped,gitops-pr,3,200,False,submit-suggestion,submit-suggestion,skill_view terminal terminal kanban_list terminal terminal terminal terminal terminal terminal,10,57974,312902,719,193.88
fulldesc-shipped,harden-cluster,1,200,False,gke-platform-security,gke-platform-security,tool_search skill_view terminal terminal terminal terminal terminal terminal terminal terminal,10,25223,312900,1423,107.78
fulldesc-shipped,harden-cluster,2,200,False,gke-platform-security,gke-platform-security,tool_search skill_view terminal terminal terminal terminal terminal terminal terminal terminal,10,34442,312900,1998,195.45
fulldesc-shipped,harden-cluster,3,200,False,gke-platform-security,gke-platform-security,terminal terminal skill_view terminal terminal terminal terminal terminal terminal terminal,10,31289,312900,1632,91.07
fulldesc-shipped,hpa,1,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,23199,312908,2164,116.91
fulldesc-shipped,hpa,2,200,False,gke-workload-scaling,gke-workload-scaling,skill_view terminal terminal terminal terminal terminal terminal terminal terminal kanban_block,10,16867,312864,2754,366.77
fulldesc-shipped,hpa,3,200,False,gke-workload-scaling,gke-workload-scaling,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,22902,312908,1873,58.4
fulldesc-shipped,https-gateway,1,200,False,gke-service-networking,gke-service-networking,terminal tool_search terminal terminal skill_view terminal terminal terminal terminal terminal,10,16502,312896,2489,65.86
fulldesc-shipped,https-gateway,2,200,False,gke-service-networking,gke-service-networking gke-manifest-generation gke-manifest-generation,terminal skill_view terminal terminal terminal terminal terminal kanban_block skill_view skill_view terminal,10,29705,312858,1928,357.83
fulldesc-shipped,https-gateway,3,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,9887,312896,1323,140.31
fulldesc-shipped,inspect-repo,1,200,False,inspect-repository,inspect-repository,skill_view terminal terminal terminal terminal terminal terminal terminal terminal kanban_complete,10,25085,312900,1120,483.82
fulldesc-shipped,inspect-repo,2,200,False,inspect-repository,inspect-repository,terminal skill_view terminal terminal terminal terminal,7,12240,219054,1325,53.9
fulldesc-shipped,inspect-repo,3,200,False,inspect-repository,inspect-repository,skill_view terminal terminal terminal terminal terminal terminal terminal kanban_complete,10,22460,312900,1614,62.26
fulldesc-shipped,manifest-go-api,1,200,False,gke-manifest-generation,gke-manifest-generation gke-manifest-generation,skill_view skill_view terminal,4,13457,125244,4018,53.5
fulldesc-shipped,manifest-go-api,2,200,False,gke-manifest-generation,gke-manifest-generation gke-manifest-generation,skill_view skill_view terminal terminal terminal terminal write_file terminal terminal terminal,10,45121,312936,1271,118.57
fulldesc-shipped,manifest-go-api,3,200,False,gke-manifest-generation,gke-manifest-generation gke-manifest-generation,skill_view skill_view terminal terminal terminal,6,23594,187808,2833,138.97
fulldesc-shipped,namespace-cost,1,200,False,gke-cost-analysis,gke-cost-analysis,skill_view terminal terminal terminal terminal,6,14192,187764,1605,79.43
fulldesc-shipped,namespace-cost,2,200,False,gke-cost-analysis,gke-cost-analysis,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,40971,312892,492,227.84
fulldesc-shipped,namespace-cost,3,200,False,gke-cost-analysis,gke-cost-analysis,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,24256,312892,753,70.18
fulldesc-shipped,nodepool-no-scaleup,1,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,36240,312908,1298,138.65
fulldesc-shipped,nodepool-no-scaleup,2,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,22232,312908,1354,301.98
fulldesc-shipped,nodepool-no-scaleup,3,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal kanban_create,10,2967,312908,1287,62.92
fulldesc-shipped,pdb-probes,1,200,False,gke-reliability,gke-reliability,terminal skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,19960,312892,1489,133.68
fulldesc-shipped,pdb-probes,2,200,False,gke-reliability,gke-reliability,terminal terminal terminal terminal terminal terminal skill_view terminal terminal terminal,10,8343,312892,1207,529.78
fulldesc-shipped,pdb-probes,3,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,14497,312892,1995,76.13
fulldesc-shipped,pod-403-gcs,1,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,6064,312914,1837,99.1
fulldesc-shipped,pod-403-gcs,2,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,6128,312914,3007,154.27
fulldesc-shipped,pod-403-gcs,3,200,False,,,terminal terminal kanban_heartbeat kanban_complete terminal terminal terminal terminal terminal terminal,10,9637,312914,2388,77.55
fulldesc-shipped,pod-ip-exhaustion,1,200,False,,,tool_describe tool_describe tool_describe tool_describe tool_describe tool_describe tool_describe tool_describe tool_describe tool_describe,10,9296,312904,833,113.9
fulldesc-shipped,pod-ip-exhaustion,2,200,False,gke-networking,gke-networking,terminal skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,29452,312862,1106,301.11
fulldesc-shipped,pod-ip-exhaustion,3,200,False,gke-networking,gke-networking,terminal tool_describe terminal terminal skill_view tool_describe tool_call terminal terminal tool_call tool_describe,10,18203,312862,1754,86.73
fulldesc-shipped,prometheus-alerts,1,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,22700,312892,1775,393.56
fulldesc-shipped,prometheus-alerts,2,200,False,,,terminal terminal kanban_list tool_search terminal terminal terminal terminal terminal terminal,10,4469,312892,2448,64.04
fulldesc-shipped,prometheus-alerts,3,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,12643,312892,1228,103.45
fulldesc-shipped,pvc-pending,1,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,9730,312926,813,515.68
fulldesc-shipped,pvc-pending,2,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,6050,312926,2209,711.06
fulldesc-shipped,pvc-pending,3,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,5269,312926,1378,118.89
fulldesc-shipped,tpu-vbar,1,200,False,gke-ai-troubleshooting-tpu-vbar-oom,gke-ai-troubleshooting-tpu-vbar-oom,list_agents skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,23350,312860,1202,341.16
fulldesc-shipped,tpu-vbar,2,200,False,gke-ai-troubleshooting-tpu-vbar-oom,gke-ai-troubleshooting-tpu-vbar-oom,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,25193,312900,1196,67.08
fulldesc-shipped,tpu-vbar,3,200,False,gke-ai-troubleshooting-tpu-vbar-oom,gke-ai-troubleshooting-tpu-vbar-oom,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,36399,312900,1350,74.42
fulldesc-shipped,upgrade-plan,1,200,False,gke-upgrades,gke-upgrades,skill_view terminal tool_call terminal terminal terminal,5,30135,156453,2703,198.82
fulldesc-shipped,upgrade-plan,2,200,False,gke-upgrades,gke-upgrades,tool_search skill_view terminal process terminal process terminal process terminal process,10,54933,312906,2090,311.95
fulldesc-shipped,upgrade-plan,3,200,False,gke-upgrades,gke-upgrades,tool_call kanban_create skill_view terminal terminal terminal kanban_create terminal terminal terminal,10,44003,312906,1638,67.48
fulldesc-shipped,vllm-l4,1,200,False,,,terminal tool_describe terminal terminal terminal terminal tool_call tool_call terminal terminal terminal,10,17745,312861,2240,610.7
fulldesc-shipped,vllm-l4,2,200,False,gke-inference,gke-inference,skill_view terminal terminal terminal terminal terminal terminal terminal kanban_complete,10,25036,312902,1857,129.32
fulldesc-shipped,vllm-l4,3,200,False,,,terminal terminal terminal terminal terminal tool_search tool_describe tool_call terminal,10,11205,312902,2280,100.02
scoped-all-shipped,control-capabilities,1,200,False,,,,1,0,28251,1074,12.04
scoped-all-shipped,control-capabilities,2,200,False,,,,1,0,28251,1132,10.23
scoped-all-shipped,control-capabilities,3,200,False,,,,1,0,28271,1280,14.35
scoped-all-shipped,control-list-nodes,1,200,False,,,terminal,2,85,56936,672,12.86
scoped-all-shipped,control-list-nodes,2,200,False,,,terminal,2,233,56936,739,10.72
scoped-all-shipped,control-list-nodes,3,200,False,,,terminal,2,233,57006,698,12.73
scoped-all-shipped,crashloop,1,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,9736,276474,782,71.73
scoped-all-shipped,crashloop,2,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,9787,276474,1284,42.39
scoped-all-shipped,crashloop,3,200,False,gke-workload-troubleshooting,gke-workload-troubleshooting,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,34484,275832,751,104.76
scoped-all-shipped,cut-the-bill,1,200,False,gke-cost-analysis,gke-cost-analysis gke-cost-optimization,terminal skill_view skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,61318,275961,926,108.45
scoped-all-shipped,cut-the-bill,2,200,False,gke-cost-optimization,gke-cost-optimization,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,42365,276732,1187,73.89
scoped-all-shipped,cut-the-bill,3,200,False,gke-cost-optimization,gke-cost-optimization gke-cost-analysis,terminal skill_view skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal kanban_complete terminal terminal terminal terminal terminal terminal,10,163968,275961,1915,95.25
scoped-all-shipped,daily-backups,1,200,False,gke-backup-dr,gke-backup-dr,skill_view terminal terminal terminal tool_search terminal terminal terminal terminal terminal terminal,10,23023,275546,1221,56.25
scoped-all-shipped,daily-backups,2,200,False,gke-backup-dr,gke-backup-dr,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,22488,275546,1543,55.77
scoped-all-shipped,daily-backups,3,200,False,gke-backup-dr,gke-backup-dr,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,15566,276412,2284,63.61
scoped-all-shipped,fleet-behind-channel,1,200,False,fleet-upgrade-verification,fleet-upgrade-verification,skill_view terminal terminal kanban_complete,4,24993,111269,2339,48.88
scoped-all-shipped,fleet-behind-channel,2,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal,9,22314,250128,5414,84.11
scoped-all-shipped,fleet-behind-channel,3,200,False,,,terminal terminal terminal terminal terminal terminal execute_code,8,18324,222538,3988,119.4
scoped-all-shipped,gitops-pr,1,200,False,submit-suggestion,submit-suggestion,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,155225,262457,921,77.74
scoped-all-shipped,gitops-pr,2,200,False,,,terminal terminal terminal terminal terminal tool_search terminal terminal terminal terminal terminal terminal terminal,10,26536,263084,1354,80.47
scoped-all-shipped,gitops-pr,3,200,False,submit-suggestion,submit-suggestion,tool_search terminal skill_view terminal terminal terminal terminal terminal terminal terminal terminal,10,45387,262657,2049,347.09
scoped-all-shipped,harden-cluster,1,200,False,gke-platform-security,gke-platform-security,terminal skill_view tool_search tool_search tool_describe tool_search tool_describe tool_describe tool_call tool_call terminal terminal terminal terminal,10,48278,276099,1276,72.69
scoped-all-shipped,harden-cluster,2,200,False,gke-platform-security,gke-platform-security,terminal terminal terminal skill_view terminal terminal terminal terminal terminal terminal,10,31824,277008,2071,63.79
scoped-all-shipped,harden-cluster,3,200,False,gke-platform-security,gke-platform-security,list_agents skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,45157,277208,2108,369.3
scoped-all-shipped,hpa,1,200,False,gke-workload-scaling,gke-workload-scaling submit-suggestion,skill_view skill_view terminal terminal terminal terminal terminal terminal kanban_complete terminal,7,42653,193340,1181,58.17
scoped-all-shipped,hpa,2,200,False,gke-workload-scaling,gke-workload-scaling submit-suggestion,terminal skill_view terminal terminal terminal terminal skill_view terminal terminal terminal terminal,10,38520,276604,802,52.0
scoped-all-shipped,hpa,3,200,False,submit-suggestion,submit-suggestion gke-workload-scaling,skill_view skill_view terminal terminal terminal terminal terminal terminal,5,26292,138302,2378,29.08
scoped-all-shipped,https-gateway,1,200,False,gke-service-networking,gke-service-networking submit-suggestion,terminal tool_search skill_view skill_view terminal terminal terminal terminal terminal kanban_complete terminal,10,76383,263556,3458,97.0
scoped-all-shipped,https-gateway,2,200,False,gke-service-networking,gke-service-networking,skill_view terminal terminal terminal kanban_heartbeat terminal terminal terminal terminal terminal,10,28154,263556,883,47.83
scoped-all-shipped,https-gateway,3,200,False,gke-service-networking,gke-service-networking manage-cluster,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal skill_view,10,29862,262693,919,44.56
scoped-all-shipped,inspect-repo,1,200,False,submit-suggestion,submit-suggestion,terminal terminal terminal terminal terminal terminal tool_search skill_view terminal terminal,10,329108,276290,2027,630.95
scoped-all-shipped,inspect-repo,2,200,False,,,terminal terminal terminal terminal terminal execute_code terminal terminal terminal execute_code,10,243268,276290,2942,656.95
scoped-all-shipped,inspect-repo,3,200,False,,,terminal terminal execute_code terminal terminal terminal web_search web_search terminal terminal,10,27025,276490,2298,213.57
scoped-all-shipped,manifest-go-api,1,200,False,gke-manifest-generation,gke-manifest-generation gke-manifest-generation,skill_view skill_view terminal,4,14154,111582,2595,36.77
scoped-all-shipped,manifest-go-api,2,200,False,gke-manifest-generation,gke-manifest-generation gke-manifest-generation,skill_view skill_view terminal,4,15544,111582,2290,27.3
scoped-all-shipped,manifest-go-api,3,200,False,gke-manifest-generation,gke-manifest-generation gke-manifest-generation,skill_view skill_view terminal kanban_heartbeat write_file,6,25652,166740,3707,97.36
scoped-all-shipped,namespace-cost,1,200,False,gke-cost-analysis,gke-cost-analysis,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,34830,276796,815,79.95
scoped-all-shipped,namespace-cost,2,200,False,gke-cost-analysis,gke-cost-analysis,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,32168,276796,789,59.58
scoped-all-shipped,namespace-cost,3,200,False,gke-cost-analysis,gke-cost-analysis,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,36027,276796,1071,160.42
scoped-all-shipped,nodepool-no-scaleup,1,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,20457,276958,1184,82.4
scoped-all-shipped,nodepool-no-scaleup,2,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,47843,276958,1841,94.99
scoped-all-shipped,nodepool-no-scaleup,3,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,48258,276958,2536,134.38
scoped-all-shipped,pdb-probes,1,200,False,gke-reliability,gke-reliability,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,29567,276046,1096,51.59
scoped-all-shipped,pdb-probes,2,200,False,gke-reliability,gke-reliability,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,31273,276902,605,124.3
