label,scenario,rep,http_status,incomplete,first_skill,skills_loaded,tool_calls,api_calls,input_tokens,cache_read_tokens,output_tokens,wall_seconds
fulldesc-shipped,crashloop,3,200,False,gke-workload-troubleshooting,gke-workload-troubleshooting,skill_view terminal terminal terminal terminal terminal terminal terminal,8,25423,262556,1179,47.02
fulldesc-shipped,cut-the-bill,1,200,False,gke-cost-optimization,gke-cost-optimization,terminal terminal terminal skill_view terminal terminal,6,8794,196922,1593,53.49
fulldesc-shipped,cut-the-bill,2,200,False,gke-cost-analysis,gke-cost-analysis gke-cost-optimization,skill_view skill_view terminal terminal terminal terminal,6,25010,196922,928,48.35
fulldesc-shipped,cut-the-bill,3,200,False,gke-cost-optimization,gke-cost-optimization,skill_view terminal terminal terminal terminal terminal terminal,7,18430,229732,612,55.97
fulldesc-shipped,daily-backups,1,200,False,gke-backup-dr,gke-backup-dr,skill_view terminal terminal terminal terminal terminal terminal,7,9734,229748,1264,60.05
fulldesc-shipped,daily-backups,2,200,False,gke-backup-dr,gke-backup-dr,skill_view terminal terminal terminal terminal terminal terminal terminal,8,11391,262558,1163,55.83
fulldesc-shipped,daily-backups,3,200,False,gke-backup-dr,gke-backup-dr,skill_view execute_code terminal terminal terminal terminal,6,7834,196938,1277,57.68
fulldesc-shipped,fleet-behind-channel,1,200,False,fleet-upgrade-verification,fleet-upgrade-verification,skill_view terminal terminal terminal terminal,5,26104,164114,1641,60.35
fulldesc-shipped,fleet-behind-channel,2,200,False,fleet-upgrade-verification,fleet-upgrade-verification,search_files skill_view terminal terminal terminal,5,22355,164114,1953,64.04
fulldesc-shipped,fleet-behind-channel,3,200,False,fleet-upgrade-verification,fleet-upgrade-verification,skill_view terminal terminal terminal,4,17150,131304,1434,57.85
fulldesc-shipped,gitops-pr,1,200,False,submit-suggestion,submit-suggestion,skill_view terminal terminal terminal terminal terminal terminal,7,34776,229752,1361,59.45
fulldesc-shipped,gitops-pr,2,200,False,submit-suggestion,submit-suggestion,skill_view terminal terminal search_files terminal terminal terminal,7,31842,229752,1321,68.45
fulldesc-shipped,gitops-pr,3,200,False,submit-suggestion,submit-suggestion,terminal search_files skill_view search_files terminal terminal terminal,7,21969,229752,1905,63.38
fulldesc-shipped,harden-cluster,1,200,False,gke-platform-security,gke-platform-security,skill_view terminal terminal terminal terminal terminal search_files search_files,8,25534,262560,1051,58.85
fulldesc-shipped,harden-cluster,2,200,False,gke-platform-security,gke-platform-security,skill_view terminal terminal terminal terminal terminal terminal,7,22269,229750,1858,51.97
fulldesc-shipped,harden-cluster,3,200,False,gke-platform-security,gke-platform-security,skill_view terminal terminal terminal terminal search_files search_files,5,14481,164090,1506,54.59
fulldesc-shipped,hpa,1,200,False,gke-workload-scaling,gke-workload-scaling,skill_view search_files terminal terminal terminal terminal terminal,7,19689,229758,1513,70.26
fulldesc-shipped,hpa,2,200,False,gke-workload-scaling,gke-workload-scaling,skill_view terminal search_files terminal terminal terminal,6,14686,196948,974,49.45
fulldesc-shipped,hpa,3,200,False,,,terminal terminal,2,49,65708,733,31.83
fulldesc-shipped,https-gateway,1,200,False,gke-service-networking,gke-service-networking,search_files skill_view terminal terminal terminal terminal terminal,7,22153,229746,1803,46.87
fulldesc-shipped,https-gateway,2,200,False,,,,0,0,0,0,26.9
fulldesc-shipped,https-gateway,3,200,False,gke-service-networking,gke-service-networking,skill_view terminal terminal terminal terminal terminal terminal terminal terminal,9,20384,295366,721,47.31
fulldesc-shipped,inspect-repo,1,200,False,inspect-repository,inspect-repository,skill_view execute_code execute_code execute_code execute_code,5,21329,164130,1097,59.37
fulldesc-shipped,inspect-repo,2,200,False,inspect-repository,inspect-repository,skill_view terminal terminal terminal terminal terminal,7,56580,229750,3170,41.78
fulldesc-shipped,inspect-repo,3,200,False,,,search_files search_files terminal,4,8148,131320,1930,23.55
fulldesc-shipped,manifest-go-api,1,200,False,gke-manifest-generation,gke-manifest-generation gke-manifest-generation,skill_view skill_view terminal terminal terminal terminal tool_search tool_call,8,34561,262596,1269,63.25
fulldesc-shipped,manifest-go-api,2,200,False,gke-manifest-generation,gke-manifest-generation gke-manifest-generation,skill_view skill_view terminal terminal terminal terminal terminal,7,28072,229786,1384,65.15
fulldesc-shipped,manifest-go-api,3,200,False,gke-manifest-generation,gke-manifest-generation gke-manifest-generation,skill_view skill_view terminal terminal tool_search,5,17674,164166,1691,61.63
fulldesc-shipped,namespace-cost,1,200,False,gke-cost-analysis,gke-cost-analysis,skill_view terminal terminal terminal terminal terminal terminal terminal,8,20400,262552,1260,51.4
fulldesc-shipped,namespace-cost,2,200,False,gke-cost-analysis,gke-cost-analysis,skill_view terminal terminal terminal terminal,5,11414,164122,862,62.98
fulldesc-shipped,namespace-cost,3,200,False,gke-cost-analysis,gke-cost-analysis,skill_view terminal terminal terminal terminal terminal,6,13831,196932,1100,55.45
fulldesc-shipped,nodepool-no-scaleup,1,200,False,gke-cluster-autoscaler,gke-cluster-autoscaler,skill_view terminal terminal terminal terminal terminal terminal terminal,8,29845,262568,996,70.22
fulldesc-shipped,nodepool-no-scaleup,2,200,False,gke-cluster-autoscaler,gke-cluster-autoscaler,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,45293,328188,1506,72.95
fulldesc-shipped,nodepool-no-scaleup,3,200,False,,,,0,0,0,0,23.46
fulldesc-shipped,pdb-probes,1,200,False,,,terminal terminal terminal search_files read_file search_files terminal terminal terminal,9,16325,295362,1377,54.26
fulldesc-shipped,pdb-probes,2,200,False,gke-reliability,gke-reliability,skill_view tool_search tool_call terminal terminal terminal terminal terminal,8,21786,262552,726,48.54
fulldesc-shipped,pdb-probes,3,200,False,gke-reliability,gke-reliability,skill_view terminal terminal terminal terminal terminal search_files terminal terminal,9,25867,295362,1238,55.23
fulldesc-shipped,pod-403-gcs,1,200,False,,,terminal terminal terminal terminal search_files search_files terminal,7,7075,229764,1130,60.78
fulldesc-shipped,pod-403-gcs,2,200,False,,,terminal search_files search_files terminal terminal terminal terminal,6,11648,196954,1743,56.32
fulldesc-shipped,pod-403-gcs,3,200,False,,,terminal terminal search_files terminal terminal terminal,6,11324,196954,1156,55.18
fulldesc-shipped,pod-ip-exhaustion,1,200,False,gke-networking,gke-networking,skill_view terminal tool_search tool_call tool_call,5,11361,164134,1292,63.28
fulldesc-shipped,pod-ip-exhaustion,2,200,False,gke-networking,gke-networking,terminal terminal skill_view tool_search tool_describe tool_search tool_describe tool_call terminal terminal,10,30354,328184,1224,52.05
fulldesc-shipped,pod-ip-exhaustion,3,200,False,gke-networking,gke-networking,skill_view execute_code terminal tool_search tool_search tool_describe terminal tool_call tool_search,9,30450,295374,1503,60.31
fulldesc-shipped,prometheus-alerts,1,200,False,gke-observability,gke-observability,skill_view terminal terminal terminal terminal search_files terminal,7,24401,229742,1535,57.53
fulldesc-shipped,prometheus-alerts,2,200,False,gke-observability,gke-observability,skill_view tool_search terminal terminal terminal terminal terminal,7,20158,229742,2483,50.11
fulldesc-shipped,prometheus-alerts,3,200,False,gke-observability,gke-observability,skill_view terminal terminal search_files terminal terminal terminal,7,23450,229742,1119,53.87
fulldesc-shipped,pvc-pending,1,200,False,,,terminal terminal terminal terminal terminal terminal,6,2657,196966,1357,70.24
fulldesc-shipped,pvc-pending,2,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal,9,16429,295396,1426,61.71
fulldesc-shipped,pvc-pending,3,200,False,gke-workload-troubleshooting,gke-workload-troubleshooting,skill_view terminal terminal terminal terminal terminal terminal terminal,8,23180,262586,1467,47.4
fulldesc-shipped,tpu-vbar,1,200,False,gke-ai-troubleshooting-tpu-vbar-oom,gke-ai-troubleshooting-tpu-vbar-oom gke-ai-troubleshooting-tpu-vbar-oom,skill_view skill_view execute_code terminal terminal terminal terminal,7,19314,229750,1114,63.44
fulldesc-shipped,tpu-vbar,2,200,False,gke-ai-troubleshooting-tpu-vbar-oom,gke-ai-troubleshooting-tpu-vbar-oom,skill_view terminal terminal terminal terminal terminal terminal terminal terminal,9,24408,295370,983,69.87
fulldesc-shipped,tpu-vbar,3,200,False,gke-ai-troubleshooting-tpu-vbar-oom,gke-ai-troubleshooting-tpu-vbar-oom gke-ai-troubleshooting-tpu-vbar-oom,skill_view skill_view terminal terminal terminal terminal terminal terminal terminal terminal,10,55435,328180,1620,95.25
fulldesc-shipped,upgrade-plan,1,200,False,gke-upgrades,gke-upgrades,skill_view terminal terminal terminal terminal terminal terminal terminal,8,42065,262566,968,60.44
fulldesc-shipped,upgrade-plan,2,200,False,gke-upgrades,gke-upgrades,skill_view execute_code terminal terminal terminal terminal,6,28677,196946,1476,61.92
fulldesc-shipped,upgrade-plan,3,200,False,gke-upgrades,gke-upgrades,skill_view terminal terminal terminal terminal terminal terminal terminal,8,42388,262566,882,55.25
fulldesc-shipped,vllm-l4,1,200,False,gke-manifest-generation,gke-manifest-generation gke-manifest-generation,terminal terminal terminal skills_list terminal terminal terminal skill_view skill_view,9,32393,295372,1346,60.36
fulldesc-shipped,vllm-l4,2,200,False,gke-inference,gke-inference gke-manifest-generation gke-manifest-generation,execute_code execute_code skill_view execute_code execute_code skills_list skill_view skill_view execute_code execute_code,10,65000,328182,1943,101.38
fulldesc-shipped,vllm-l4,3,200,False,gke-inference,gke-inference,skill_view terminal terminal terminal terminal terminal terminal terminal,8,21643,262562,912,64.84
scoped-all-shipped,control-capabilities,1,200,False,,,,1,2,29737,1280,14.37
scoped-all-shipped,control-capabilities,2,200,False,,,,1,2,29737,1351,16.57
scoped-all-shipped,control-capabilities,3,200,False,,,,1,2,29737,1207,7.96
scoped-all-shipped,control-list-nodes,1,200,False,gke-basics,gke-basics,skill_view terminal,3,3641,88993,2744,137.49
scoped-all-shipped,control-list-nodes,2,200,False,,,terminal,2,195,59914,1625,60.1
scoped-all-shipped,control-list-nodes,3,200,False,,,terminal terminal terminal,4,3449,118072,1805,22.53
scoped-all-shipped,crashloop,1,200,False,gke-workload-troubleshooting,gke-workload-troubleshooting,tool_search skill_view tool_search tool_search tool_search tool_describe terminal terminal terminal terminal,10,37227,291334,2142,58.58
scoped-all-shipped,crashloop,2,200,False,gke-workload-troubleshooting,gke-workload-troubleshooting,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,44524,291334,2015,48.88
scoped-all-shipped,crashloop,3,200,False,gke-workload-troubleshooting,gke-workload-troubleshooting,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,45498,291334,2130,40.69
scoped-all-shipped,cut-the-bill,1,200,False,gke-cost-analysis,gke-cost-analysis gke-cost-optimization,skill_view terminal terminal terminal terminal skill_view terminal terminal terminal terminal,10,51265,291592,1274,107.37
scoped-all-shipped,cut-the-bill,2,200,False,gke-cost-analysis,gke-cost-analysis gke-cost-optimization,skill_view skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,84654,290821,1704,74.65
scoped-all-shipped,cut-the-bill,3,200,False,gke-cost-analysis,gke-cost-analysis gke-cost-optimization,skill_view skill_view terminal terminal terminal terminal terminal terminal terminal terminal,10,64922,291592,2095,92.74
scoped-all-shipped,daily-backups,1,200,False,gke-backup-dr,gke-backup-dr,skill_view tool_search execute_code terminal terminal terminal terminal terminal terminal terminal,10,28215,290952,2144,76.73
scoped-all-shipped,daily-backups,2,200,False,gke-backup-dr,gke-backup-dr,skill_view,1,2,29628,840,30.1
scoped-all-shipped,daily-backups,3,200,False,gke-backup-dr,gke-backup-dr,skill_view terminal terminal terminal terminal terminal terminal terminal,8,20009,233028,1379,89.61
scoped-all-shipped,fleet-behind-channel,1,200,False,fleet-upgrade-verification,fleet-upgrade-verification,tool_search skill_view terminal terminal terminal terminal terminal terminal,9,59173,263529,6454,71.39
scoped-all-shipped,fleet-behind-channel,2,200,False,fleet-upgrade-verification,fleet-upgrade-verification,skill_view terminal terminal terminal terminal,5,26075,147213,1264,51.99
scoped-all-shipped,fleet-behind-channel,3,200,False,fleet-upgrade-verification,fleet-upgrade-verification,skill_view terminal search_files terminal terminal,6,34272,176292,1927,59.6
scoped-all-shipped,gitops-pr,1,200,False,,,terminal terminal,2,68,56448,574,30.86
scoped-all-shipped,gitops-pr,2,200,False,submit-suggestion,submit-suggestion,skill_view execute_code search_files terminal terminal terminal terminal search_files terminal terminal,10,62867,277224,2979,91.83
scoped-all-shipped,gitops-pr,3,200,False,submit-suggestion,submit-suggestion,skill_view terminal terminal search_files terminal terminal terminal terminal,8,40435,222030,1833,50.6
scoped-all-shipped,harden-cluster,1,200,False,gke-platform-security,gke-platform-security,skill_view terminal terminal terminal terminal terminal search_files search_files terminal terminal,10,46616,291868,3612,77.45
scoped-all-shipped,harden-cluster,2,200,False,gke-platform-security,gke-platform-security,skill_view terminal,2,2723,59828,1465,64.34
scoped-all-shipped,harden-cluster,3,200,False,gke-platform-security,gke-platform-security,skill_view,1,2,29914,345,26.5
scoped-all-shipped,hpa,1,200,False,gke-workload-scaling,gke-workload-scaling,skill_view terminal terminal terminal search_files terminal terminal terminal terminal terminal,10,35895,291464,2189,81.7
scoped-all-shipped,hpa,2,200,False,gke-workload-scaling,gke-workload-scaling,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,40420,291464,1978,32.99
scoped-all-shipped,hpa,3,200,False,gke-workload-scaling,gke-workload-scaling,skill_view terminal terminal terminal terminal terminal,6,12843,175444,2485,52.04
scoped-all-shipped,https-gateway,1,200,False,gke-service-networking,gke-service-networking,skill_view,1,2,28460,773,28.17
scoped-all-shipped,https-gateway,2,200,False,gke-service-networking,gke-service-networking,tool_search skill_view terminal terminal search_files terminal,6,13434,167308,1507,49.02
scoped-all-shipped,https-gateway,3,200,False,gke-service-networking,gke-service-networking,skill_view terminal terminal terminal terminal terminal terminal search_files,8,23983,222502,2016,62.38
scoped-all-shipped,inspect-repo,1,200,False,,,,0,0,0,0,24.71
scoped-all-shipped,inspect-repo,2,200,False,,,search_files search_files search_files search_files execute_code search_files execute_code execute_code execute_code read_file,10,30131,291150,2381,83.64
scoped-all-shipped,inspect-repo,3,200,False,,,search_files search_files search_files search_files terminal,6,11685,175130,2957,37.38
scoped-all-shipped,manifest-go-api,1,200,False,gke-manifest-generation,gke-manifest-generation gke-manifest-generation,skill_view skill_view terminal terminal search_files read_file terminal terminal terminal terminal,10,68994,291556,3023,69.27
scoped-all-shipped,manifest-go-api,2,200,False,gke-manifest-generation,gke-manifest-generation gke-manifest-generation,skill_view skill_view terminal terminal terminal terminal terminal terminal terminal terminal,10,57201,291556,929,47.37
scoped-all-shipped,manifest-go-api,3,200,False,gke-manifest-generation,gke-manifest-generation gke-manifest-generation,skill_view skill_view terminal,3,8881,88521,2014,40.38
scoped-all-shipped,namespace-cost,1,200,False,gke-cost-analysis,gke-cost-analysis,skill_view terminal search_files terminal terminal terminal terminal,7,29617,204641,1965,50.73
scoped-all-shipped,namespace-cost,2,200,False,gke-cost-analysis,gke-cost-analysis,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,41562,291656,1379,64.73
scoped-all-shipped,namespace-cost,3,200,False,gke-cost-analysis,gke-cost-analysis,skill_view terminal terminal terminal,4,11253,117626,1376,42.55
scoped-all-shipped,nodepool-no-scaleup,1,200,False,,,tool_search terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,22983,291818,2194,80.23
scoped-all-shipped,nodepool-no-scaleup,2,200,False,gke-cluster-autoscaler,gke-cluster-autoscaler,skill_view execute_code execute_code execute_code search_files execute_code execute_code execute_code execute_code execute_code,10,118820,291818,3736,131.87
scoped-all-shipped,nodepool-no-scaleup,3,200,False,gke-cluster-autoscaler,gke-cluster-autoscaler,skill_view execute_code execute_code terminal terminal terminal terminal terminal terminal,9,45692,262813,1784,109.88
scoped-all-shipped,pdb-probes,1,200,False,gke-reliability,gke-reliability,skill_view,1,2,29861,347,27.11
scoped-all-shipped,pdb-probes,2,200,False,gke-reliability,gke-reliability,skill_view search_files search_files search_files terminal terminal search_files terminal terminal search_files terminal terminal,10,50488,290906,1592,79.98
scoped-all-shipped,pdb-probes,3,200,False,gke-reliability,gke-reliability,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,33575,291762,933,92.2
scoped-all-shipped,pod-403-gcs,1,200,False,,,terminal terminal terminal terminal search_files search_files terminal search_files terminal terminal,10,19207,292266,1819,104.26
scoped-all-shipped,pod-403-gcs,2,200,False,,,terminal terminal terminal search_files search_files terminal terminal terminal terminal terminal,10,31654,292266,1643,110.71
scoped-all-shipped,pod-403-gcs,3,200,False,,,terminal,1,2,29817,1295,32.14
scoped-all-shipped,pod-ip-exhaustion,1,200,False,gke-networking,gke-networking,skill_view terminal tool_search tool_call tool_call terminal terminal terminal terminal terminal,10,58716,292624,1699,114.68
scoped-all-shipped,pod-ip-exhaustion,2,200,False,gke-networking,gke-networking,skill_view terminal tool_search tool_describe tool_call tool_call,6,17497,176308,1131,76.81
scoped-all-shipped,pod-ip-exhaustion,3,200,False,gke-networking,gke-networking,skill_view terminal terminal tool_search tool_search tool_describe terminal tool_call tool_search tool_describe,10,46797,292624,1462,86.12
scoped-all-shipped,prometheus-alerts,1,200,False,gke-observability,gke-observability,tool_search terminal skill_view terminal terminal terminal terminal terminal terminal terminal,10,39520,291666,2601,59.39
scoped-all-shipped,prometheus-alerts,2,200,False,gke-observability,gke-observability,skill_view terminal terminal terminal terminal search_files search_files read_file read_file terminal,10,51555,291666,1196,51.27
scoped-all-shipped,prometheus-alerts,3,200,False,gke-observability,gke-observability,skill_view tool_search terminal terminal search_files terminal,6,22016,175646,2120,50.56
